#,Team,Pld,W-D-L,+/-,GD,Pts,Ovr
1 (C),Everton,38,20-7-11,75-61,14,67,1980
2 ,West Ham United,38,18-12-8,69-48,21,66,1795
3 ,Arsenal,38,18-10-10,72-61,11,64,2101
4 ,Manchester City,38,17-10-11,81-67,14,61,2140
5 ,Wolverhampton Wanderers,38,16-9-13,72-58,14,57,1668
6 ,Tottenham Hotspur,38,16-9-13,82-70,12,57,1987
7 ,Manchester United,38,15-11-12,78-64,14,56,2033
8 ,Aston Villa,38,16-8-14,71-69,2,56,2039
9 ,Liverpool,38,13-15-10,65-63,2,54,2081
10 ,Nottingham Forest,38,14-11-13,72-66,6,53,1800
11 ,Ipswich Town,38,14-10-14,72-74,-2,52,1606
12 ,Fulham,38,14-9-15,65-76,-11,51,1805
13 ,Bournemouth,38,13-10-15,63-74,-11,49,1938
14 ,St Johnstone,38,14-6-18,68-76,-8,48,1732
15 ,Leicester City,38,12-12-14,67-80,-13,48,1971
16 ,Crystal Palace,38,14-5-19,74-86,-12,47,1822
17 ,Southampton,38,12-7-19,71-81,-10,43,1619
18 (R),Chelsea,38,9-11-18,76-84,-8,38,2064
19 (R),Brighton and Hove Albion,38,10-8-20,65-82,-17,38,1914
20 (R),Brentford,38,8-14-16,63-81,-18,38,1927
